Bind on AR6210 - Tx confirmed DSMX 22ms

Full on
000-11111111111	001-11111111110	010-11111111110	---------------	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	---------------	110-11111111111
000-11111111111	001-11111111110	010-11111111110	---------------	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	---------------	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	---------------	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	---------------	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111
000-11111111111	001-11111111110	010-11111111110	011-11111111110	100-11111111111	101-11111111111	110-11111111111

000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	---------------	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	---------------	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	---------------	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-00000000010	010-00000000010	011-00000000100	100-00000000001	---------------	110-00000000001

000-00000000001	001-10000110001	010-10000110000	011-01111001111	100-00000000001	101-00000000001	110-00000000001
