000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-00000000001		001-00000000010		010-00000000010		011-00000000010		100-00000000001		101-00000000001		110-00000000001		111-00000000001
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-11111111111		001-11111111110		010-11111111110		011-11111111110		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001101000		001-10000010000		010-01111110000		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001101000		001-10000010000		010-01111101110		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001100110		001-10000010000		010-01111110000		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001100110		001-10000010000		010-01111110000		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001101000		001-10000010000		010-01111110000		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001100110		001-10000010000		010-01111110000		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001100110		001-10000010000		010-01111110000		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111
000-10001101000		001-10000010000		010-01111110000		011-01111101111		100-11111111111		101-11111111111		110-11111111111		111-11111111111

